,horizon,mse,rmse,mae,mape,mdape,smape,coverage
144,283 days,0.42045631404534956,0.6484260281985521,0.5059812398536438,0.05856829016047015,0.04180902295085008,0.059376828509199044,0.8518518518518519
155,300 days,0.3896722597792852,0.624237342506266,0.5067471019251765,0.059296117395126385,0.049679254780776734,0.05909131064278341,0.8148148148148148
56,130 days,0.3643572508438201,0.6036201213046332,0.5067671169956139,0.05867754235429118,0.054130400200208637,0.05860178451463242,0.7407407407407407
167,320 days,0.4120308500450842,0.6418962922817706,0.5085515842737036,0.05913581931020091,0.054870086193784605,0.05935812059456533,0.8148148148148148
58,134 days,0.37272245228999473,0.6105099936037041,0.510994414727723,0.058843072214811845,0.05432551673888723,0.05879257708213765,0.7407407407407407
187,354 days,0.4309440927200467,0.6564633216867845,0.5114244953513052,0.059332420831003256,0.05235800326751714,0.05959781094573805,0.9259259259259259
188,355 days,0.4330674644802531,0.6580786157293467,0.5164373510392739,0.05987517793054137,0.05235800326751714,0.06016627063701501,0.9259259259259259
173,330 days,0.43791868307614074,0.6617542467382742,0.5171314454359697,0.05978765864770605,0.057611199421865836,0.06021495187024835,0.8518518518518519
57,133 days,0.3768485486039968,0.6138799138300558,0.5187022412557434,0.05981353170112254,0.05432551673888723,0.05980938307959599,0.7407407407407407
185,350 days,0.4343242426290605,0.6590328084618098,0.5248767340291205,0.06094548840881228,0.057611199421865836,0.061180945206789454,0.9259259259259259
156,301 days,0.4036123653431747,0.6353049388625707,0.525188256840968,0.06139480666285736,0.054870086193784605,0.06109648609188954,0.7777777777777778
184,349 days,0.4348170167611769,0.6594065640871168,0.5260666091203537,0.06111474607856127,0.057611199421865836,0.06138288546934803,0.9259259259259259
172,329 days,0.44522746289817794,0.6672536720754543,0.5283896014597762,0.06108728086245857,0.057611199421865836,0.0615645831185469,0.8518518518518519
191,360 days,0.46586925734302903,0.6825461576648344,0.5383735169107366,0.06246759520818313,0.05235800326751714,0.06272438904075234,0.9259259259259259
189,356 days,0.453241048796801,0.6732317942557385,0.5388586442238191,0.06254058513481033,0.05851452588127528,0.06299348272308267,0.9259259259259259
192,361 days,0.4649645643869537,0.6818831017021566,0.5389746820399249,0.06282527312807533,0.06151826291824472,0.0629124953171379,0.9259259259259259
190,357 days,0.4535592850682793,0.6734681024876229,0.542064920787301,0.06292999119025222,0.05851452588127528,0.0633805556145211,0.9259259259259259
